COMPLIANCE DATE,REGISTRATION,TRACKED BY,MODEL,SERIAL NUMBER,TASK DESCRIPTION,ATA CODE,MFG.CODE,ITEM NUMBER,PART NUMBER REMOVED,SERIAL NUMBER REMOVED,REMOVAL REASON,ACCUMULATED MONTHS,ACCUMULATED HOURS,ACCUMULATED LANDINGS,ACCUMULATED CYCLES,PART NUMBER INSTALLED,SERIAL NUMBER INSTALLED,INSTALLED STATUS,MSN AT INSTALL,TSN AT INSTALL,LSN AT INSTALL,CSN AT INSTALL,MSO AT INSTALL,TSO AT INSTALL,LSO AT INSTALL,CSO AT INSTALL
04/28/2017,N271HC,Airframe,AGUSTA A109SP,22250,CABIN PORTABLE FIRE EXTINGUISHER ANNUAL INSPECTION,26,2308,140,A344,Y-197935,[S] Scheduled,12,530.50,2254,,A344,x62422,[I] Inspected,,,,,,,,
04/28/2016,N271HC,Airframe,AGUSTA A109SP,22250,CABIN PORTABLE FIRE EXTINGUISHER ANNUAL INSPECTION,26,2308,140,A344,Y-197935,[S] Scheduled,12,421.60,1528,,A344,Y-197935,[I] Inspected,,,,,,,,
04/22/2015,N271HC,Airframe,AGUSTA A109SP,22250,CABIN PORTABLE FIRE EXTINGUISHER ANNUAL INSPECTION,26,2308,140,A344,Y-197935,[S] Scheduled,11,457.40,1431,,A344,Y-197935,[I] Inspected,,,,,,,,
04/29/2014,N271HC,Airframe,AGUSTA A109SP,22250,CABIN PORTABLE FIRE EXTINGUISHER ANNUAL INSPECTION,26,2308,140,,,,,,,,A344,Y-197935,,0,0.00,0,0.00,0,0.00,0,0.00
04/26/2017,N251HC,Airframe,AGUSTA A109SP,22221,MAIN ROTOR ASSEMBLY,62,1001,387,109-0112-02-107,V5,[U] Unscheduled,77,2352.10,6419,,109-0112-02-115,V45,[S] Serviceable,,300.03,,,,,,
11/16/2010,N251HC,Airframe,AGUSTA A109SP,22221,MAIN ROTOR ASSEMBLY,62,1001,387,,,,,,,,109-0112-02-107,V5,,0,0.00,0,0.00,0,0.00,0,0.00
04/26/2017,N251HC,Airframe,A109SP,22221,HUB - MAIN ROTOR ASSY - RETIREMENT,62,RL62-04,423,109-0111-03-113,R822,[U] Unscheduled,77,2352.10,6419,,109-0111-03-113,V176,[S] Serviceable,,300.00,1524,,,,,
11/16/2010,N251HC,Airframe,AGUSTA A109SP,22221,HUB - MAIN ROTOR ASSY - RETIREMENT,62,RL62-04,423,,,,,,,,109-0111-03-113,R822,,0,0.00,0,0.00,0,0.00,0,0.00
04/26/2017,N251HC,Airframe,A109SP,22221,MAIN ROTOR HUB ASSY,65,0108,497,109-0111-03-113,R822,[U] Unscheduled,77,2352.10,6419,,109-0111-03-113,V176,[S] Serviceable,,,,,,,,
11/16/2010,N251HC,Airframe,AGUSTA A109SP,22221,MAIN ROTOR HUB ASSY,65,0108,497,,,,,,,,109-0112-02-103,,,0,0.00,0,0.00,0,0.00,0,0.00
04/19/2017,N251HC,Airframe,A109SP,22221,FLOATING RING ASSY. 109-0111-09-103,62,2101,1761,,,,,,,,109-0111-09-103,K63,[S] Serviceable,,,,,,,,
04/13/2017,N251HC,Airframe,AGUSTA A109SP,22221,COCKPIT PORTABLE FIRE EXTINGUISHER MONTHLY INSP,26,2306,137,,,,,,,,,,,,,,,,,,
03/16/2017,N271HC,Airframe,A109SP,22250,STATIONARY SCISSOR SLEEVE 1 - RETIREMENT,62,RL62-08.1,428,109-0110-21-103,MCR01458,WORN,63,2392.50,8637,,109-0110-21-103,MCR02293,[N] New,,0.00,,,,,,
12/12/2011,N271HC,Airframe,AGUSTA A109SP,22250,STATIONARY SCISSOR SLEEVE 1 - RETIREMENT,62,RL62-08.1,428,,,,,,,,109-0110-21-103,MCR01458,,0,0.00,0,0.00,0,0.00,0,0.00
12/27/2016,N271HC,Airframe,A109SP,22250,BLADE 1 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.1,414,709-0104-01-111,V280,VIBRATION,60,2305.20,8293,,709-0104-01-111,V809,[S] Serviceable,,950.80,,,,,,
12/12/2011,N271HC,Airframe,AGUSTA A109SP,22250,BLADE 1 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.1,414,,,,,,,,709-0104-01-111,V280,,0,0.00,0,0.00,0,0.00,0,0.00
12/27/2016,N271HC,Airframe,A109SP,22250,BLADE 3 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.3,416,709-0104-01-111,V334,VIBRATION,60,2305.20,8293,,709-0104-01-111,V922,[S] Serviceable,,1003.60,,,,,,
12/12/2011,N271HC,Airframe,AGUSTA A109SP,22250,BLADE 3 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.3,416,,,,,,,,709-0104-01-111,V334,,0,0.00,0,0.00,0,0.00,0,0.00
11/10/2016,N631HC,Airframe,A109SP,22349,COCKPIT PORTABLE FIRE EXTINGUISHER,26,01.1,1139,,,,,,,,AW003ZE02,TEMPLATE,,,,,,,,,
11/10/2016,N631HC,Airframe,A109SP,22349,CABIN PORTABLE FIRE EXTINGUISHER,26,01.2,1992,,,,,,,,AW003ZE02,08-2015/00566,[N] New,,,,,,,,
11/10/2016,N631HC,Airframe,A109SP,22349,Cockpit - PORTABLE FIRE EXTINGUISHER - DISCARD [26-01],26,DT26-01,2013,,,,,,,,AW003ZE02,OB-2015/00566,,,,,,,,,
11/09/2016,N531HC,Airframe,A109SP,22366,RII      FORWARD INTERFACE FITTING LIFE LIMIT - #1,53,RL53-01.1,860,,,,,,,,109-0332-34-103,SN UNKNOWN,,,0.00,0,0.00,,,,0.00
11/09/2016,N531HC,Airframe,A109SP,22366,RII      MAIN ROTOR ASSEMBLY,62,1001,77,,,,,,,,109-0112-02-115,89,[N] New,,0.00,,,,,,
11/09/2016,N531HC,Airframe,A109SP,22366,RII      SWASHPLATE ASSEMBLY,62,3230,830,,,,,,,,109-0134-02-105,162,[N] New,,0.00,,,,,,
11/09/2016,N531HC,Airframe,A109SP,22366,RII      BLADE 1 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.1,952,PN,SN UNKNOWN,[NS] Not Specified,0,0,,,709-0104-01-111,1371,[N] New,0,0.00,,,,,,
,N531HC,Airframe,AGUSTA A109SP,22366,RII      BLADE 1 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.1,952,,,,,,,,PN,SN UNKNOWN,,0,0.00,0,0.00,0,0.00,0,
11/09/2016,N531HC,Airframe,A109SP,22366,RII      BLADE 4 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.4,592,PN,SN UNKNOWN,[NS] Not Specified,0,0,,,709-0104-01-111,1376,[N] New,,0.00,,,,,,
,N531HC,Airframe,AGUSTA A109SP,22366,RII      BLADE 4 (COMPOSITE MATERIAL) - RETIREMENT,62,RL62-01.4,592,,,,,,,,PN,SN UNKNOWN,,0,0.00,0,0.00,0,0.00,0,0.00
11/09/2016,N531HC,Airframe,A109SP,22366,RII      HUB - MAIN ROTOR ASSY - RETIREMENT,62,RL62-04,74,,,,,,,,109-0111-03-113,312,[N] New,,0.00,0,0.00,,,,0.00
11/09/2016,N531HC,Airframe,A109SP,22366,RII      STATIONARY SCISSOR SLEEVE 2 - RETIREMENT,62,RL62-08.2,442,,,,,,,,109-0110-21-103,MCR02299,[N] New,,0.00,,0.00,,,,
11/09/2016,N531HC,Airframe,AGUSTA A109SP,22366,RII      UPPER CASE ASSEMBLY - RETIREMENT,63,RL63-07,400,,,,,,,,109-0402-45-101,863,[N] New,,0.00,0,0.00,,,,0.00
11/09/2016,N531HC,Airframe,A109SP,22366,RII      FLANGE ADAPTER 4 - RETIREMENT,65,RL65-06.4,631,,,,,,,,109-0425-01-3,MCR0753,[N] New,,0.00,0,0.00,,,,0.00
11/09/2016,N531HC,Airframe,A109SP,22366,RII      FORWARD INTERFACE FITTING LIFE LIMIT - #2,53,RL53-01.2,257,,,,,,,,109-0332-34-104,SN UNKNOWN,,,0.00,0,0.00,,,,0.00
